﻿Name,Frequency,CountryCode
CİHAN,7177,TR
ERGÜN,7165,TR
NUSRET,7162,TR
ALAATTİN,7137,TR
REŞAT,7110,TR
MEHMET SAİT,7043,TR
NAZİF,7042,TR
KADRİ,6977,TR
HÜSEYİN,6957,SY
FEYZİ,6927,TR
ŞEFİK,6925,TR
MEMİŞ,6919,TR
ASLAN,6887,TR
ABDULBAKİ,6880,TR
NAİL,6813,TR
ZEYNEL,6811,TR
MEHMET,6702,DE
NURULLAH,6696,TR
MÜMİN,6689,TR
ABDURRAHİM,6671,TR
HİMMET,6659,TR
SAVAŞ,6614,TR
BAKİ,6583,TR
COŞKUN,6566,TR
TURGAY,6530,TR
NADİR,6513,TR
BEKTAŞ,6495,TR
NECMİ,6412,TR
TANER,6326,TR
MEHMET ZEKİ,6317,TR
MEHMET ŞİRİN,6281,TR
SONER,6250,TR
İZZETTİN,6245,TR
BÜNYAMİN,6219,TR
BİROL,6197,TR
VOLKAN,6187,TR
LATİF,6127,TR
ABDİ,6059,TR
SEZAİ,6034,TR
ÜZEYİR,5942,TR
CAVİT,5935,TR
MÜRSEL,5926,TR
ERTUĞRUL,5891,TR
ERDEM,5882,TR
BEŞİR,5845,TR
KAYA,5839,TR
MEHMET ŞERİF,5835,TR
MİKAİL,5726,TR
VAHİT,5708,TR
İSHAK,5707,TR
AVNİ,5691,TR
ÖKKEŞ,5627,TR
ALAETTİN,5585,TR
ATİLLA,5570,TR
DURMUŞ ALİ,5567,TR
ÖNDER,5542,TR
RAİF,5516,TR
İSKENDER,5508,TR
MUSTAFA,5506,DE
NEBİ,5468,TR
SADULLAH,5451,TR
NAİM,5440,TR
ŞEHMUS,5416,TR
CELALETTİN,5327,TR
ONUR,5327,TR
HULUSİ,5322,TR
HABİP,5283,TR
ABDÜLKADİR,5277,TR
SAİM,5248,TR
TEKİN,5217,TR
ABDULLAH,5115,SY
NEZİR,5112,TR
MUSTAFA KEMAL,5095,TR
EYYUP,5077,TR
