Surname,Frequency
TAŞTAN,4788
KÖSEOĞLU,4787
GİRGİN,4752
TARHAN,4749
DEDE,4731
OK,4726
KOÇYİĞİT,4689
BİLEN,4663
DEMİRHAN,4630
TATAR,4606
ÇAVDAR,4603
TOK,4596
SEVER,4578
UYGUN,4560
SEVEN,4555
KURNAZ,4536
ÜLKER,4535
KUZU,4478
OKTAY,4477
KARADEMİR,4467
ZORLU,4436
CANDAN,4432
POYRAZ,4396
AKBABA,4381
KAYMAZ,4335
YAKUT,4317
OKUMUŞ,4316
ÇİFTCİ,4292
ÇİL,4278
İNAL,4271
ÖZDOĞAN,4267
TİRYAKİ,4263
TOPUZ,4257
BAŞAR,4256
TEZCAN,4251
ULUDAĞ,4227
ŞENEL,4217
KARAKURT,4177
ATİK,4157
SÖYLEMEZ,4148
KARADAŞ,4123
TEPE,4112
KORKUT,4111
FİLİZ,4091
METE,4075
ERDAL,4073
ÜNVER,4063
DÜZGÜN,4060
ATAK,4057
TEKE,4041
ALTAN,4038
BİLİR,4025
ERGEN,4015
KAYMAK,4010
ÖCAL,4004
KOCABAŞ,4000
KARASU,3999
BOZDAĞ,3993
GÖÇER,3984
ATA,3965
BALTA,3957
YOLCU,3957
ÖZALP,3907
GÖKSU,3879
EKİN,3874
KAYNAK,3874
OLGUN,3866
TERZİ,3854
ÇAVUŞ,3847
DİLEK,3833
BERBER,3830
ULU,3830
ZEYBEK,3828
ERASLAN,3821
KÖK,3812
DEMİRKOL,3811
BİLİCİ,3809
AKCAN,3776
YORULMAZ,3775
GÜNDOĞAN,3770
AKKURT,3767
BAŞER,3765
ÖZGÜR,3752
YAYLA,3743
DİKMEN,3739
MERAL,3738
AÇAR,3733
SOYSAL,3712
CANPOLAT,3681
KANAT,3635
BODUR,3629
EKEN,3611
ÖZBEY,3608
BEDİR,3604
ÖZTAŞ,3601
GÖKDEMİR,3588
GÜLEN,3582
ATASOY,3569
GÜLLÜ,3558
ERTUĞRUL,3539
KUL,3538
ALAGÖZ,3536
KAYHAN,3531
ÇETİNER,3526
ÇOŞKUN,3525
TOPALOĞLU,3521
YENER,3521
ÇAY,3513
AKARSU,3506
ALDEMİR,3505
AKKOYUN,3496
DERE,3491
ÖZYURT,3491
İŞLER,3484
BALABAN,3448
EKİZ,3443
CEBECİ,3438
YAĞMUR,3435
ERBAŞ,3417
ERTEN,3415
ÇANKAYA,3412
DAĞDELEN,3376
BARUT,3370
KAHVECİ,3367
ÖZGÜL,3341
EKŞİ,3340
BAŞAK,3335
TUFAN,3314
KARAOĞLU,3304
SÜMER,3303
SERİN,3299
GÖREN,3255
DURU,3244
NAS,3235
ÇİNAR,3233
ERSÖZ,3231
SAYAR,3225
ULUTAŞ,3214
AL,3203
SEYHAN,3190
ULAŞ,3178
YAZAR,3168
YOLDAŞ,3164
HAN,3158
BOZAN,3157
BAYKAL,3156
ÇABUK,3154
ÖZGÜN,3150
GÖKALP,3145
KİRAZ,3134
SAKA,3134
DAYAN,3128
CİVELEK,3120
BOZDEMİR,3109
ERDEMİR,3091
YURDAKUL,3085
ATAR,3064
CESUR,3064
KARDAŞ,3059
GÜLŞEN,3057
DERELİ,3037
AYKUT,3030
KALE,3028
EMRE,3025
BOSTAN,3024
AYVAZ,3008
URAL,3006
ERTAN,3000
KOÇER,2998
BATUR,2982
